2024-02-15_13:48:04.578435;296.78;91015;7.54;2334
2024-02-15_13:48:15.047276;296.78;91014;7.53;2316
2024-02-15_13:48:25.520074;296.78;91013;7.53;2307
2024-02-15_13:48:35.988872;296.78;91012;7.53;2301
2024-02-15_13:48:46.453926;296.78;91012;7.53;2285
2024-02-15_13:48:56.922824;296.78;91012;7.53;2269
2024-02-15_13:49:07.395449;296.79;91012;7.52;2258
2024-02-15_13:49:17.864316;296.79;91013;7.52;2246
2024-02-15_13:49:28.333201;296.79;91012;7.52;2240
2024-02-15_13:49:38.802082;296.8;91013;7.51;2227
2024-02-15_13:49:49.271032;296.8;91014;7.52;2216
2024-02-15_13:49:59.740024;296.8;91014;7.52;2201
2024-02-15_13:50:10.208985;296.81;91014;7.51;2195
2024-02-15_13:50:20.678365;296.82;91013;7.51;2184
2024-02-15_13:50:31.146494;296.82;91013;7.51;2166
2024-02-15_13:50:41.615430;296.83;91012;7.5;2164
2024-02-15_13:50:52.088114;296.83;91011;7.5;2150
2024-02-15_13:51:02.556990;296.84;91011;7.5;2136
2024-02-15_13:51:13.025882;296.85;91011;7.49;2124
2024-02-15_13:51:23.494889;296.85;91011;7.48;2114
2024-02-15_13:51:33.963610;296.86;91010;7.48;2107
2024-02-15_13:51:44.432524;296.87;91010;7.48;2098
2024-02-15_13:51:54.901389;296.87;91009;7.48;2083
2024-02-15_13:52:05.370143;296.88;91009;7.48;2080
2024-02-15_13:52:15.842856;296.88;91010;7.47;2064
2024-02-15_13:52:26.307856;296.89;91009;7.46;2059
2024-02-15_13:52:36.776853;296.89;91010;7.46;2051
2024-02-15_13:52:47.245641;296.9;91009;7.45;2035
2024-02-15_13:52:57.718288;296.91;91009;7.46;2031
2024-02-15_13:53:08.187208;296.91;91009;7.46;2022
2024-02-15_13:53:18.656108;296.92;91008;7.45;2007
2024-02-15_13:53:29.125131;296.92;91009;7.44;2003
2024-02-15_13:53:39.593899;296.93;91008;7.45;1994
2024-02-15_13:53:50.062709;296.93;91007;7.43;1988
2024-02-15_13:54:00.531772;296.94;91007;7.44;1972
2024-02-15_13:54:11.000358;296.95;91006;7.44;1966
2024-02-15_13:54:21.469382;296.95;91005;7.43;1958
2024-02-15_13:54:31.938336;296.96;91003;7.44;1944
2024-02-15_13:54:42.407101;296.96;91004;7.42;1937
2024-02-15_13:54:52.875967;296.96;91003;7.43;1932
2024-02-15_13:55:03.348503;296.97;91004;7.42;1924
2024-02-15_13:55:13.817465;296.97;91004;7.41;1915
2024-02-15_13:55:24.286387;296.98;91003;7.42;1903
